Order,Superfamily,Family,subfamily,Tribe,Genus,species,animal,type,colony.size.data,sample.size,number.references,colony.size,Reference,colony.size.FG,Sample.Size.FG,CS.lit.search,SS.lit.search,Reference,SD,Min,Max,social.parasite,polyandry,eff.mating.freq,eff.mating.freq.MEAN.harmonic,eff.mating.freq.MEAN.arithmetic,polyandry.clean,polygyny,number.queens,number.queens.MEAN,polygyny.clean,lowrelated,lowrelated.clean,Type of data,Method of data collection,Reference,Notes on mating structure,Q.policing,W.policing,W.policing.clean,Worker.sons,Worker.sons.clean,Reference,Selfish policing,Reference,Caste1,Caste2,Caste3,physical.worker.castes.clean,physical.worker.castes.clean.Wilson,Notes,Reference,Q_W.polymorph,Reference,"Behav.castes (0-none, 1-age polethism, 2-behavioural)",Reference,Continuous.size.based.behavioural.castes (different sized workers do different things but size variation is continous with single peak),Reference,Polymorphic,animal,Voucher,Queen_HW_mean,SD,Sample_size,Reference,Notes,Raw_Data,Total_N_Studies,Dimorphic_castes,Voucher,Minor_mean,SD,Sample_size,Reference,Notes,Raw_Data,Total_N_Studies,Voucher,Worker_HW_mean,Sample_size,SD,Reference,Notes,Raw_Data,Min,Max,Total_N_Studies
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,andreniformis,Apis_andreniformis,bee,"4900 n=unknown - Jaffe et al., 2014",1,1,4900,"Jaffe et al., 2014",,,,,,,,,,2,"8.86 (harmonic) 9.1 (arithmetic) n=4 - Hughes et al., 2008 - (citing Oldroyd et al., 1997) + 10.5 (type of mean unknown) n=4 - Hughes et al., 2008 - (citing Tarpy et al., 2004)",8.86,9.1,2,0 - was NA before,"1 - Hughes et al., 2008",1,0,1,1,"Starr method - Oldroyd et al., 1997; Nielsen method - Tarpy et al., 2004","DNA Microsatellite markers - Hughes et al., 2008 - (citing Oldroyd et al., 1997 + Tarpy et al., 2004)","Hughes et al. 2008 - (citing Oldroyd et al., 1997); Hughes et al., 2008 - (citing Tarpy et al., 2004)","Hughes et al., 2008 - (Both papers are citing the same data set of Oldroy et al., 1997: 8.86 (harmonic) 9.1 (arithmetic) n=4 - Hughes et al., 2008 - (citing Oldroyd et al., 1997) + 10.5 (type of mean unknown) n=4 - Hughes et al., 2008 - (citing Tarpy et al., 2004))",,,,,,,,,1,1,1,1,1,,,,,,,,,,Apis_andreniformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,cerana,Apis_cerana,bee,6884 n=1 + 6271,2,2,6577.5,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",,,,,,,,,,2,"8.88 (harmonic) 9.17 (arithmetic) n=4 - Koyama et al., 2009 (are these wild colonies?) + 12 (arithmetic) n=4 - Hughes et al., 2008 - (citing Oldroyd et al., 1998) + 14.1 (type of mean unknown) - Hughes et al., 2008 - (citing Tarpy et al., 2004)",8.88,10.585,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Nielsen method - Ding et al., 2017 + Hughes et al., 2008 - (citing Tarpy et al., 2004); Starr method - Hughes et al., 2008 - (citing Oldroyd et al., 1998); Pamilo method - Koyama et al., 2009","DNA Microsatellite markers - Koyama et al., 2009 + Ding et al., 2017 + Hughes et al. 2008 - (citing Oldroyd et al., 1998 + Tarpy et al., 2004)","Hughes et al. 2008 - (citing Oldroyd et al., 1998 + Tarpy et al., 2004); Koyama et al., 2009; Ding et al., 2017","Ding et al., 2017 - (looked at native and invasive range n=9 china native and n=10 invasive Australia. 84-96 pupae analysed per colony. China: observed mf=29 range19-45, effective=24.6-arithmetic 21.87-harmonic range 12.24-41.55 n=9. Australia: observed mf=27.4 range 16-42, effective=21-arithmetic 17.85-harmonic range 7.78-38.33 n=10.) Koyama et al., 2009 - (Apis_cerana_japonica. High proportion of workers with active ovaries in queenright colonies. Pamilo method. Artificially create 4 queenless colonies from 4 queenright colonies kept at a university in Tokyo (sample size N=4). Microsatellite DNA markers, analysed 272 workers and 57 queen larvae, 68 workers per colony range 64-80. 14.5 queens per colony analysed, range 8-20.  Kobs = 9 range 7-12, effective mating frequency = 8.88 (harmonic) 9.17 (arithmetic) range 7.15-11.74. Suggest that their estimates could be underestimates due to sampling error and mention that in unpublished data they observed mating frequency to be 11-15 mates. Effective mating frequency calculated using both queens and worker samples); Hughes et al., 2008 - (citing Oldroyd et al., 1998 - n=4, effective mating frequency = 12 (arithmetic). Starr method)",,1,1,0,0,"Wenseleers&Ratnieks, 2006",,,1,1,1,1,1,,,,,,,,,,Apis_cerana,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,dorsata,Apis_dorsata,bee,36630 n=1 + 6884,2,2,21757,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",,,,,,,,,,2,"11.83 (type of mean unknown) n=45 - Sahebzadeh et al., 2013 + 22.66 (harmonic) 33.59 (arithmetic) n=18 - Rattanawannee et al., 2012 + 44.2 (type of mean unknown) - Hughes et al., 2008 + 54.37 (harmonic) 63 (arithmetic) n=13 - Hughes et al., 2008 - (citing Wattanachaiyingcharoen et al., 2003)",30,45.92,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Does not specify method in Sahebzadeh et al., 2013; Nielsen - Rattanawannee et al., 2012; Pamilo method - Hughes et al., 2008 - (citing Wattanachaiyingcharoen et al., 2003)",DNA Microsatellite markers,"Hughes et al. 2008 - (citing Wattanachaiyingcharoen et al., 2003); Sahebzadeh et al., 2013; Rattanawannee et al., 2012","Sahebzadeh et al., 2013 - (N=45 nests in Malaysia, at least 20 workers collected per nest, infer queen and paternal genotypes from workers, effective mating frequency = (12.2+11.5+11.8)/3 =11.83, does not clarify whether harmonic or arithmetic). Rattanawannee et al., 2012 - (DNA Microsatellite of N=18 colonies, Thailand, citing Moritz et al., 1995 Kobs = 30.17 19-53 effective maitng frequency =25.56, citing Oldroyd et al., 1996 Kobs = 26 effective mating frequency = 19.96, Wattanachaiyingcharoen et al., 2003 effective mating frequency range 26.9-88.5, effective mating frequency = 63 (arithmetic). Nielsen method. Kobs range 30-67, effective mating frequency = 33.59 (arithmetic) 22.65797651 (harmonic), mean number of workers analysed per colony = 145.115); Hughes et al., 2008 - (citing Wattanachaiyingcharoen et al., 2003 - n=13, effective mating frquency = 54.37 (harmonic) 63 (arithmetic). Pamilo method.)",,,,0,0,"Hammond&Keller, 2004",,,1,1,1,1,1,,,,,,,,,,Apis_dorsata,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,florea,Apis_florea,bee,6271 n=1 + 36630,2,2,21450.5,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",,,,,,,,,,2,"7.9 (unknown) n=11 - Hughes et al., 2008 - (citing Tarpy et al., 2003) + 10.1 (unknown) n=5 - Hughes et al., 2008 - (Palmer & Oldroyd, 2001)",,8.59,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Nielsen method - Tarpy et al., 2003; Pamilo method - Palmer & Oldroyd, 2001",DNA Microsatellite,"Hughes et al. 2008 - (citing Palmer & Oldroyd, 2001 + Tarpy et al., 2003)","Hughes et al., 2008 - (citing Palmer & Oldroyd, 2001 - n=5, effective mating frequency = 10.1 (type of mean unknown), Pamilo method.); Hughes et al., 2008 - (citing Tarpy et al., 2003 - n=11, effective mating frequency = 7.9 (type of mean unknown). Nielsen method.)",0,1,1,0,0,"Wenseleers&Ratnieks, 2006",,,1,1,1,1,1,,,,,,,,,,Apis_florea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,koschevnikovi,Apis_koschevnikovi,bee,7000,1,1,7000,"Jaffe et al., 2014",,,,,,,,,,2,"13.3 (unknown) - Hughes et al., 2008 + 7.33 (harmonic) 10.5 (arithmetic) n=4 - Hughes et al., 2008 - (Rinderer et al., 1998)",7.33,10.5,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Starr method - Hughes et al., 2008 - (Rinderer et al., 1998)",DNA Microsatellite,Hughes et al. 2008,"Hughes et al. 2008 - (citing Rinderer et al., 1998 - n=4, effective mating frequency = 10.5 (arithmetic) 7.33 (harmonic). Starr method.)",,,,,,,,,1,1,1,1,1,,,,,,,,,,Apis_koschevnikovi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,laboriosa could be synonym for apis dorsata laboriosa,Apis_laboriosa,bee,36630,1,1,36630,"Jaffe et al., 2014",,,,,,,,,,2,"18.28 (harmonic) - Jaffe et al., 2012 + 18.28 (harmonic) 20.19 n=5 - Hughes et al., 2008 - (Paar et al., 2004)",18.28,20.19,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Nielsen method - Jaffe et al., 2012; Starr + Pamilo method - Hughes et al., 2008 - (Paar et al., 2004)","DNA Microsatellite - Jaffe et al., 2012","Hughes et al. 2008 - (citing Paar et al., 2004); Jaffe et al., 2012","Jaffe et al., 2012 - (Kobs = 34.40, effective paternity frequency = 18.28, Nielsen method, mean number of workers analysed per colony = 135, mean queen number = 1.); Hughes et al., 2008 - (Paar et al., 2004 - n=5, effective mating frequency = Starr: 14.50 (harmonic) 16.84 (arithmetic), Pamilo: 18.28 (harmonic) 20.19 (arithmetic).)",,,,,,,,,1,1,1,1,1,,,,,,,,,,Apis_laboriosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,mellifera,Apis_mellifera,bee,60000 + 80000 + 19524,3,3,53174.67,"Dornhaus et al., 2012; Rodriguez-Serrano et al., 2012; Jaffe et al., 2014",,,,,,,,,,2,"13.16 n=28 (arithmetic) - El-Niweiri & Moritz, 2011 + 18.36 (type of mean unknown) n=16 - Shaibi & Moritz, 2010 + 18.5 (arithmetic) 15.1 (harmonic) n=20 - Tarpy et al., 2010 (non-native) + 11.76 (arithmetic) n=48 bees from apiaries - Hernandez-Garcia et al., 2009 + 11.6 (unknown) - Hughes et al., 2008",,13.16,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Pamilo - El-Niweiri & Moritz, 2011; Nielsen - Tarpy et al., 2010; Starr - Hernandez-Garcia et al., 2009","DNA Microsatellite - El-Niweiri & Moritz, 2011 + Tarpy et al., 2010 + Hernandez-Garcia et al., 2009","Hughes et al. 2008; Tarpy et al., 2013; El-Niweiri & Moritz, 2011; Tarpy et al., 2010; Hernandez-Garcia et al., 2009","Tarpy et al., 2013 - (Study on commercially reared bees. N=79 colonies, DNA from 30-45 adult workers per colony, mean=39.2, 3098 total. Nielsen method. Mean observed mating frequency = 14.7, mean effective mating frequency = 13.6 (don't know if it's arithmetic or harmonic)). El-Niweiri & Moritz, 2011 - (Apis_mellifer_jemenitica. N=28 wild colonies, 672 workers genotyped, 24 workers per colony. Kobs = 14 range 9-23, effective mating frequency = 13.16 (arithmetic), do not provide colony estimates used to calculate harmonic mean. Lower polyandry in regions with greater rainfall. Pamilo method. Sudan.) Shaibi & Moritz, 2010 - (N=16 colonies sampled from Libya. DNA of at least 24 workers per colony extracted, DNA microsatellite analysis. Does not specify the type of analysis used to determine effective mating frequency. Kobs = 14.58. Effective mating frequency (method used unknown, my value is estimation based on three mean values, type of mean value unknown) = 18.36.). Tarpy et al., 2010 - ('Africanized Honey Bee' from feral population in USA, this species was originally from Africa and hybridised with the bees presen already in the Americas which were from Europe. 3 groups used: control group, managed group and feral bees (N=20) - all my data is just for the feral bee population. Effective mating frequency (feral) = 18.5 (arithmetic) 15.1 (harmonic) range 7-37.53, Kobs = 18.5 range 6-32. Therefore, non-native. 1253 workers genotyped using microsatellite markers, 7-79 per colony, N=20 colonies. Nielsen method.) Hernandez-Garcia et al., 2009 - (Workers collected from apiaries - therefore, not wild. Apis-mellifera_ibiriensis. Starr method. 2127 (915 + 1212) workers genotyped from N=48 colonies, average of 44.31 workers per colony. Kobs = (15.73 n=22 + 18.92 n=26) 17.46 (arithmetic) range 8-29, effective mating frequency = (10.43 n=22 + 12.88 n=26) 11.76 (arithmetic).) ",,1,1,0.1,0.1,"Wenseleers&Ratnieks, 2006",,,1,1,1,1,1,,,,,,,,,,Apis_mellifera,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,nigrocincta,Apis_nigrocincta,bee,6884,1,1,6884,"Jaffe et al., 2014",,,,,,,,,,2,"40.3 - Hughes et al., 2008 + 31.64 (harmonic) 40.5 (arithmetic) n=4 Hughes et al., 2008 - (citing Palmer et al., 2001)",31.64,40.5,2,0,"1 - Hughes et al., 2008",1,0,1,1,"Pamilo method - Hughes et al., 2008 - (citing Palmer et al., 2001)",DNA Microsatellite,Hughes et al. 2008,"Hughes et al. 2008 - (citing Palmer et al., 2001 - n=4, effective mating frequency = 40.5 (arithmetic) 31.64 (harmonic). Pamilo method.)",,,,,,,,,1,1,1,1,1,,,,,,,,,,Apis_nigrocincta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,australis,Austroplebeia_australis,bee,2000 n=1,1,1,2000,"Hammond&Keller, 2004",,,,,,,,,,0,"1 - Hughes et al., 2008 - (citing Drumond et al., 2000)",1,1,0,0,"1 - Hughes et al., 2008",1,0,0,0,,DNA Microsatellite,Hughes et al. 2008,"Hughes et al. 2008 - (Drumond et al., 2000 - n=2, Monandrous queens. DNA microsatellites.)",,,,7,7,"Wenseleers&Ratnieks, 2006",,,1,1,1,1,1,,,,,,,,,,Austroplebeia_australis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,cassiae,Austroplebeia_cassiae,bee,3000,1,1,3000,"Gruter, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,Austroplebeia_cassiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
